data,output
ไม่มีตุ่มนูน,ไม่ใช่
ไม่มีตุ่มใส,ไม่ใช่
ไม่ขึ้นกระจายทั่วตัว,ไม่ใช่
ไม่ขึ้น,ไม่ใช่
ไม่ขึ้นทั่วตัว,ไม่ใช่
ไม่เป็นอัมพาต,ไม่ใช่
ไม่ง่วง,ไม่ใช่
ไม่ง่วงมาก,ไม่ใช่
ไม่คิดมาก,ไม่ใช่
ไม่กังวลใจ,ไม่ใช่
ไม่เสียใจ,ไม่ใช่
ไม่กลุ้มใจ,ไม่ใช่
ไม่ปกติครับ,ไม่ใช่
ไม่กระหายน้ำ,ไม่ใช่
ไม่มีจุดแดงรูปแมงมุม,ไม่ใช่
ไม่อ้วนเท้าบวม,ไม่ใช่
ไม่อ้วน,ไม่ใช่
ตาไม่พร่ามัว,ไม่ใช่
ไม่ได้กินยา,ไม่ใช่
ไม่มีประวัติครับ,ไม่ใช่
ไม่ต้องการอะไรเพิ่ม,ไม่ใช่
ไม่มีอะไร,ไม่ใช่
ไม่มีอาการ,ไม่ใช่
อาการไม่มี,ไม่ใช่
ไม่ได้ดินยา,ไม่ใช่
ไม่มีรอยฟกช้ำ,ไม่ใช่
ไม่ได้รับบาดเจ็บ,ไม่ใช่
ไม่เคยได้รับบาดเจ็บ,ไม่ใช่
ไม่มีแผล,ไม่ใช่
ไม่ได้มีแผล,ไม่ใช่
 ,None
ระบบพัง,None
ไปเที่ยว,None
เดินทาง,None
เครื่องบิน,None
กระเบิด,None
ไปทำงานที่ต่างประเทศ,None
มีงานจะต้องทำ,None
ระบบแย่,None
ระบบทำงาน,None
มองอะไร,None
มองทำไม,None
คิดอะไรอยู่ครับ,None
มาทำไม,None
เป็นอะไรมา,None
สวัสดี,None
สวัสดีครับ,None
ยินดีต้อนรับครับ,None
สวัสดีครับคุณหมอ,None
คุณแพทย์,None
คุณหมอ,None
คุณพยาบาล,None
มายังไงครับ,None
เดินไปทางนั้นเลยครับ,None
เดินมองทางขวาไว้นะครับ,None
เลือกให้ถูกนะครับ,None
เลือกดีๆ,None
ปิดแล้วหลับ,None
หลับตาลงนะครับ,None
เดินทางปลอดภัย,None
อยากไปทางไหนเหรอครับ,None
ชอบการเดินทางหรือป่าว,None
คิดแล้วปวดหัวจังเลยครับ,None
ผมเห็นอะไรก็ไม่รู้,None
ไปกันเถอะครับ,None
ไปมายังไงดี,None
หมอช่วยผมด้วยครับ,None
พยาบาลมานี่หน่อยครับ,None
พยาบาลผมพร้อมแล้วครับ,None
ผมชอบเครื่องนี้มากเลยนะครับ,None
หมอเรียก,None
หมอเรียกครับ,None
แพทย์เรียก,None
พยาบาลเดินมา,None
พยาบาลมาแล้วครับ,None
จะต้องคุยกับพยาบาลก่อน,None
จะต้องคุยกับแพทย์ก่อน,None
แพทย์กำลังสอนอยู่นะครับ,None
กำลังไปครับ,None
มีอะไรบ้างอย่าง,None
แพทย์กำลังจ่ายยา,None
หมอกำลังจ่ายยาให้ผม,None
ไม่ชอบเลยครับ,None
ไม่ชอบการกระทำแบบนี้เลย,None
แล้วมันคืออะไร,None
แล้วมันเกิดอะไรขึ้นเหรอครับ,None
อวตาร,None
น่ารักดีนะ,None
เดินทางปลอดภัย,None
เธอน่ารักดีนะครับ,None
ไปพร้อมกับได้หรือป่าว,None
ระบบกำลังดำเนินการ,None
การดำเนินการถูกต้อง,None
กำลังดำเนินการ,None
ซ้ายหรือขวาดี,None
ใช่หรือไม่,None
ใช่หรือป่าว,None
แน่นอนใช่หรือไม่,None
ไม่ใช่หรือป่าวครับ,None
ใช่หรือไม่ใช่,None
ไม่หรือใช่,None
ไม่ใช่หรือใช่,None
เกิดขึ้นจริงๆหรือป่าวครับ,None
จริงหรือป่าวครับ,None
เป็นไปได้ไหม,None
เป็นไปได้หรือป่าว,None
ถูกต้องหรือป่าว,None
จริงหรือไม่,None
มันเกิดขึ้นจริงๆหรือป่าวครับ,None
มันจริงหรือป่าวครับ,None
มันเป็นไปได้ไหม,None
มันเป็นไปได้หรือป่าว,None
มันถูกต้องหรือป่าว,None
มันจริงหรือไม่,None
ดีแล้วจริงหรือ,None
ถูกต้องแล้วแน่หรือ,None
เป็นไปตามนั้นจริงหรือป่าว,None
เป็นไปแล้วหรือป่าว,None
ชอบหรือไม่ชอบ,None
ดีหรือไม่ดี,None
เกิดขึ้นแล้วหรือยังไม่เกิดขึ้น,None
เป็นไปตามเป้าหมายหรือป่าวครับ,None
จริงเหรอครับ,None
เป็นจริงเหรอครับ,None
ชอบจริงเหรอครับ,None
มันยังไม่เกิดใช้ไหมครับ,None
มันเกิดหรือยัง,None
เป็นอะไรไปเหรอ,None
รายงานการกระทำ,None
เป็นอะไรไปเหรอครับ,None
เดินไปพร้อมกันดีไหม,None
เป็นควยอะไร,None
โหดร้ายจังเลยครับ,None
เป็นอะไรก่อน,None
ทำไรครับเนี้ย,None
สนใจกันบ้างนะครับ,None
สนใจกันบ้าง,None
จริงรึป่าว,None
อร่อยมั้ย,None
เป็นจริงไหม,None
เป็นจริงรึป่าว,None
หนังสืออันนี้สนุกดีนะ,None
เป็นไปได้หรือป่าว,None
จบหรือไม่จบ,None
ไม่จบหรือจบ,None
ไม่ได้สนใจอะไร,None
เป็นเปล่า,None
ไปป่ะ,None
เอามั้ย,None
เป็นมั้ย,None
ไปมั้ย,None
ไปกันป่ะ,None
ไปกินข้าวกันไหม,None
เอายังไงก็บอกกันสิ,None
อร่อยมั้ยคะ,None
อร่อยมั้ยครับ,None
เป็นไปได้หรือป่าวครับ,None
จบหรือไม่จบครับ,None
ไม่จบหรือจบครับ,None
ไม่ได้สนใจอะไรครับ,None
เป็นเปล่าครับ,None
ไปป่ะครับ,None
เอามั้ยครับ,None
เป็นมั้ยครับ,None
ไปมั้ยครับ,None
ไปกันป่ะครับ,None
ไปกินข้าวกันไหมครับ,None
เอายังไงก็บอกกันสิครับ,None
เป็นจริงไหมคะ,None
เป็นจริงรึป่าวคะ,None
หนังสืออันนี้สนุกดีนะคะ,None
เป็นไปได้หรือป่าวคะ,None
จบหรือไม่จบคะ,None
ไม่จบหรือจบคะ,None
ไม่ได้สนใจอะไรคะ,None
เป็นเปล่าคะ,None
ไปป่ะคะ,None
เอามั้ยคะ,None
เป็นมั้ยคะ,None
ไปมั้ยคะ,None
ไปกันป่ะคะ,None
ไปกินข้าวกันไหมคะ,None
เอายังไงก็บอกกันสิคะ,None
เป็นไปตามเป้าหมายหรือป่าวคะ,None
จริงเหรอคะ,None
เป็นจริงเหรอคะ,None
ชอบจริงเหรอคะ,None
มันยังไม่เกิดใช้ไหมคะ,None
ไปเที่ยวครับ,None
เดินทางครับ,None
เครื่องบินครับ,None
กระเบิดคับ,None
ไปทำงานที่ต่างประเทศคับ,None
มีงานจะต้องทำคับ,None
ระบบแย่คับ,None
ระบบทำงานคับ,None
มองอะไรคับ,None
มองทำไมคับ,None
ไปเที่ยวค่ะ,None
เดินทางคับ,None
เครื่องบินคับ,None
กระเบิดคับ,None
ไปทำงานที่ต่างประเทศค่ะ,None
มีงานจะต้องทำค่ะ,None
ระบบแย่ค่ะ,None
ระบบทำงานค่ะ,None
มองอะไรคะ,None
มองทำไมคะ,None
เป็นอะไรนะ,None
เอารึป่าว,None
เป็นอะไรรึป่าว,None
ชอบหรือป่าว,None
ชอบหรือป่าวคะ,None
ชอบหรือป่าวครับ,None
จิงไหม,None
จิงมั่ย,None
จิงหรือป่าว,None
จริงหรือไม่,None
รักเธอจริงๆ,None
หรั่ง,None
ชอบที่เธอเป็นเธอ,None
วงแทมมะริน,None
แตกแล้ว,None
ตายแล้ว,None
ตายจริงๆสินะ,None
มันเกิดเรื่องแย่ๆขึ้น,None
เพราะทั้งใจ,None
ศิลปิน,None
อะไรก็ดีหมดแหละครับ,None
ที่จะทำให้ทายคำปริศนานั้นได้ถูกต้อง,None
เป็นคำแสดงคำถามที่ต้องการ,None
ให้เลือกคำถามอะไรก็ได้,None
โดยคำตอบของคำถาม,None
ไม่ใช่โดยจะขึ้นคำถามให้ทีละชุด,None
คําสรรพนาม,None
เป็นเกมฝึกทดสอบความรู้,None
เพียงท่ายตอบว่า,None
ทดสอบเก็บคะแนน,None
โดยมีตารางคะแนนของผู้เล่นทั่วประเทศ,None
เวลาของแต่ล่ะตอนค่ะ,None
ถ้ามีข้อผิดพลาดตรงไหนต้องข้ออภัยด้วยนะคะ,None
มีเรื่องไหนสนุกๆอยากให้อ่าน,None
แนะนำกันได้ค่ะ,None
ประโยคคำถาม,None
บ้านของมดทำจากใบไม้ใช่หรือไม,None
ใครสร้างโรงเรียนวังไกลกังวล ในพระบรมราชูปถัมภ์,None
บ้านของนักเรียนอยู่ที่ไหน,None
ทำไมคนและสัตว์ต้องมีบ้าน,None
นักเรียนสามารถปฏิบัติตนเป็นคนดีได้อย่างไร,None
คุณแม่จะกลับบ้านเมื่อไร,None
การเขียนประโยคคำถาม จากประโยคบอกเล่า,None
แก้วปั่นจักรยานไปที่ไหน,None
ใคร คิดเลขเก่ง,None
ทำไมเธอไม่ไปโรงเรียน,None
แม่นำดอกมะลิไปบูชาพระเมื่อไร,None
แก้วปั่นจักรยานไปตลาด,None
สมชายคิดเลขเก่ง,None
ฉันไม่ไปโรงเรียนเพราะเป็นวันเสาร์,None
เมื่อคืนแม่นำดอกมะลิไปบูชาพระ,None
คำถามซึ่งอาจอยู่ต้นประโยคหรือท้ายประโยคก็ได้,None
คำถามที่เกี่ยวกับประวัติของคุณ,None
พูดเกี่ยวกับประวัติ,None
เรซูเม่ของคุณให้ฉันฟังหน่อย,None
บรรยายเกี่ยวกับตัวคุณเองที,None
อยากให้คุณ พูดเกี่ยวกับประวัติการศึกษาของคุณหน่อย,None
บอกฉันเกี่ยวกับประวัติการทำงานของคุณ,None
งานอดิเรกของคุณคืออะไร,None
อยากให้เล่าความสำเร็จที่คุณภาคภูมิใจมากที่สุดให้ฟังหน่อย,None
อยากให้คุณเล่าหน่อยว่า เคยผิดพลาดอะไรมากบ้าง,None
อะไรคือความล้มเหลวที่แย่ที่สุดของคุณ,None
จุดแข็งของคุณคืออะไร,None
อะไรคือแรงจูงใจของคุณ,None
คุณเป็นผู้นำหรือผู้ตาม,None
คุณมีประสบการณ์การเป็นผู้นำบ้างไหม,None
จะเป็นการสัมภาษณ์ที่เน้นไปถึงทัศนคติด้านการทำงานมากขึ้น,None
ประโยชน์อะไรที่คุณสามารถทำให้บริษัทของเราได้,None
ทำไมเราถึงต้องจ้างคุณ,None
คุณต้องการเงินเดือนเท่าไหร่,None
คุณจะเริ่มงานได้เมื่อไหร่,None
คุณมีคำถามอะไรที่คุณอยากถามฉันไหม,None
พร้อมหรือป่าวคับ,None
ต้องการอะไรเหรอครับ,None
มีอะไรก็สามารถสอบถามได้นะครับ,None
ต้องการจะกินข้าวหรือป่าว,None
พร้อมที่จะเกินทางหรือป่าวครับ,None
อยากจะทราบก็สามารถตอบได้นะครับ,None
เป็นอะไรหรือป่าว,None
ต้องการอะไรเหรอคะ,None
มีอะไรก็สามารถสอบถามได้นะคะ,None
ต้องการจะกินข้าวหรือป่าวคะ,None
พร้อมที่จะเกินทางหรือป่าวคะ,None
อยากจะทราบก็สามารถตอบได้นะคะ,None
กินข้าวหรือยัง,None
เป็นไปได้หรือป่าว,None
จริงหรือไม่จริงหรือไม่มีโอกาสเลย,None
เห็นแล้วถูกใจหรือป่าว,None
มีอะไรก็บอกได้นะ,None
สามารถดำเนินการได้หรือป่าวครับ,None
ชอบทำอะไรที่ดีหรือไม่ดี,None
งานจะต้องทำอยู่ตลอดหรือป่าว,None
ใช่หรือไม่,None
ดีหรือไม่ถูก,None
เป็นหรือไม่ดี,None
คิดหรือไม่ถูก,None
จบหรือไม่คิด,None
เกินหรือพอดี,None
เกินหรือไม่ครบ,None
พอดีหรือไม่พอดี,None
พอดีหรือป่าว,None
เกินหรือไม่เกิน,None
ไปต่อหรือเดินกลับ,None
เห็นเธอมองมาไกลแล้วฉันก็ตกใจ,None
เป็นไปมาไปหลับนอนลงบนเตียง,None
จะจบดีๆหรือจะจบด้วยน้ำตา,None
ถูกต้องแล้วผิดไหม,None
ถูกต้องแล้วไม่ดีหรือป่าว,None
ทางเดินเดินทาง,None
สวัสดีครับ,None
สวัสดีค่ะ,None
สวัสดีจ๊ะ,None
ว่าไง,None
ว่าไงค่ะ,None
ว่าไงคับ,None
ว่าไงครับ,None
ทักทาย,None
ทักจ้า,None
ทักทายครับ,None
ทักทายจ้า,None
ทักครับ,None
ทักค่ะ,None
ทักงับ,None
เดินมาทักกันด้วยนะ,None
ทักจ้า ว่าไงครับ,None
มาๆ ไปๆ มาทำไม,None
เดินผ่านไปผ่านมา,None
ไอ้หุ่นยนต์นี่มันดูปัญญาอ่อนจัง,None
กระจอกมาก,None
เป็นอะไรที่แย่มากเลยนะ,None
ไปตายสะ,None
ไปตายซะ,None
ไอ้กระป๋อง,None
ไอ้หน้าโง่,None
ไอ้ควาย,None
ไอ้คำหยาบ,None
หุ่นไปตายซะ,None
ฉันต้องการไปต่อยกับหมอ,None
ฉันต้องเดินวนรอบตัวคุณ,None
ฉันต้องการเดินไปทุกที่ ที่ฉันต้องการ,None
เดินตามฉันมาหน่อยสิ,None
กระโดดตามมา,None
ตามมา,None
เป็นไปได้ฉันอยากจะตาย,None
เป็นไปได้ฉันต้องการที่จะหมอบแล้ววิ่ง,None
ผมอยากทำอะไรที่ให้โลกจดจำ,None
เดินทางได้อย่างปลอดภัย,None
ขอบคุณครับ,None
ขอบคุณมากๆเลยครับ,None
ขอบคุณค่ะ,None
ขอบคุณมากๆเลยคนะคะ,None
ขอบใจเจ้ามาก,None
ขอบใจที่บอกนะ,None
บอกได้ตามตรงเลย ฉันอยากเจอเขา,None
จะต้องไปพร้อมกันนะครับ,None
ทุกคนพร้อมหรือป่าว,None
พร้อมกันหรือยัง,None
เดินไปข้างหน้า,None
เดินไปข้างซ้าย,None
เดินไปข้างขวา,None
เดินกลับหลังมา,None
เดินหน้าไปแล้วหันไปทางซ้าย,None
เดินมาแล้วทักกันด้วยนะ,None
ไปได้แล้ว,None
มาได้สักทีนะ,None
มาแล้วก็ยินดีต้อนรับนะครับ,None
คุณครูค่ะ,None
เด็กๆพร้อมไหม,None
เด็กทางนี้จ้า,None
ว่าไงน้องสาว แสนน่ารัก,None
ว่าไงน้องสาว,None
คนสวยมากทางนี้หน่อย,None
นายเป็นใคร,None
นายมาที่นี่ทำไม,None
นายต้องการอะไรจากฉัน,None
นายเป็นที่ต้องการหรือป่าว,None
มึงเป็นใคร,None
กูเป็นใคร,None
จบที่ตรงนี้ได้เลย,None
ตามมาได้นะ ผมจะพอเดินดูเอง,None
ผมไม่ต้องการคุณครับ,None
เป็นไปได้ก็อยากจะพัก,None
